"Monthly Climate Statistics for 'SYDNEY (OBSERVATORY HILL)' [066062]"
"Created on [ 13 May 2026 15:17:30 UTC]"

"066062 SYDNEY (OBSERVATORY HILL)"
"Commenced: 1858"
"Last Record: 2020"
"Latitude:   33.86 Degrees South"
"Longitude:  151.21 Degrees East"
"Elevation:      39 m"
"State: NSW"

"Statistic Element","January","February","March","April","May","June","July","August","September","October","November","December","Annual","Number of Years","Start Year","End Year"
"Decile 5 (median) monthly rainfall (mm) for years 1800 to 3000 ",190.5,255.4,278.8,268.3,265.9,300.0,221.0,185.1,148.9,174.6,165.0,160.8, ,163,n/a,n/a
"Highest daily rainfall (mm) for years 1858 to 2020 ",191.0,243.6,280.7,191.0,212.3,150.6,198.1,327.6,144.5,161.8,234.6,126.0,327.6,162,1858,2020
"Date of Highest daily rainfall for years 1858 to 2020 ",17 Jan  1988,03 Feb  1990,28 Mar  1942,29 Apr  1860,28 May  1889,11 Jun  1991,07 Jul  1931,06 Aug  1986,10 Sep  1879,13 Oct  1902,09 Nov  1984,09 Dec  1970,06 Aug  1986,N/A,1858,2020
"Mean number of days of rain for years 1858 to 2020 ",12.1,12.5,13.7,12.8,12.9,12.6,11.1,10.3,10.5,11.6,11.6,11.5,143.2,162,1858,2020
"Mean number of days of rain >= 1 mm for years 1858 to 2020 ",8.6,9.0,9.9,8.9,8.6,8.8,7.4,7.1,7.1,7.9,8.3,7.9,99.5,162,1858,2020
"Mean number of days of rain >= 10 mm for years 1858 to 2020 ",2.7,3.0,3.5,3.3,3.2,3.6,2.7,2.1,1.9,2.0,2.4,2.2,32.6,162,1858,2020
"Mean number of days of rain >= 25 mm for years 1858 to 2020 ",1.1,1.2,1.4,1.4,1.3,1.6,1.0,0.8,0.6,0.7,0.7,0.7,12.5,162,1858,2020
"Mean daily wind run (km) for years 1955 to 1992 ",316,296,272,274,284,304,323,331,323,322,332,326,309,37,1955,1992
"Maximum wind gust speed (km/h) for years 1955 to 1992 ",150,111,97,106,135,135,106,113,131,113,118,121,150,37,1955,1992
"Date of Maximum wind gust speed for years 1955 to 1992 ",19 Jan  1958,11 Feb  1978,02 Mar  1985,22 Apr  1972,04 May  1971,10 Jun  1956,20 Jul  1959,21 Aug  1981,30 Sep  1968,10 Oct  1957,10 Nov  1977,02 Dec  1957,19 Jan  1958,N/A,1955,1992
"Mean daily sunshine (hours) for years 1955 to 1992 ",7.1,6.7,6.4,6.4,5.9,5.5,6.4,7.1,7.2,7.2,7.8,7.6,6.8,37,1955,1992
"Mean daily solar exposure (MJ/(m*m)) for years 1990 to 2026 ",22.5,19.9,16.7,13.5,10.3,8.7,9.8,13.0,16.9,19.8,21.6,23.1,16.3,36,1990,2026
"Mean number of clear days for years 1955 to 2010 ",6.8,5.3,7.1,9.1,9.5,9.1,12.0,13.4,10.9,8.1,6.0,6.6,103.9,56,1955,2010
"Mean number of cloudy days for years 1955 to 2010 ",13.4,13.0,12.8,10.7,10.8,10.9,8.7,7.7,8.5,11.4,12.5,12.8,133.2,56,1955,2010
"Mean daily evaporation (mm) for years 1955 to 1966 ",4.6,3.9,3.1,2.6,1.9,1.2,1.5,1.9,2.5,3.3,4.3,4.4,2.9,12,1955,1966
"Mean 9am temperature (°C) for years 1955 to 2010 ",22.5,22.3,21.1,18.2,14.6,11.9,10.9,12.5,15.7,18.5,19.9,21.6,17.5,56,1955,2010
"Mean 9am wet bulb temperature (°C) for years 1955 to 2010 ",19.0,19.3,18.1,15.3,12.1,9.7,8.5,9.5,11.9,14.3,16.0,17.7,14.3,56,1955,2010
"Mean 9am dew point temperature (°C) for years 1955 to 2010 ",16.6,17.3,16.0,12.9,9.7,7.2,5.5,5.9,8.0,10.5,12.8,14.9,11.4,56,1955,2010
"Mean 9am relative humidity (%) for years 1955 to 2010 ",71,74,74,72,74,74,71,66,62,61,66,67,69,56,1955,2010
"Mean 9am cloud cover (okas) for years 1955 to 2010 ",4.9,5.2,4.7,4.1,4.0,4.0,3.5,3.3,3.8,4.4,4.8,4.9,4.3,56,1955,2010
"Mean 9am wind speed (km/h) for years 1955 to 1992 ",8.6,8.2,7.9,8.8,10.5,11.9,13.1,13.3,12.4,12.2,11.0,9.8,10.6,37,1955,1992
"Mean 3pm temperature (°C) for years 1955 to 2010 ",24.8,24.9,24.0,22.0,19.4,16.9,16.4,17.5,19.2,20.7,22.1,23.8,21.0,56,1955,2010
"Mean 3pm wet bulb temperature (°C) for years 1955 to 2010 ",19.8,20.2,19.1,17.0,14.5,12.4,11.4,11.9,13.5,15.3,16.9,18.5,15.9,56,1955,2010
"Mean 3pm dew point temperature (°C) for years 1955 to 2010 ",16.6,17.2,15.8,13.1,10.1,7.8,5.7,5.9,7.9,10.5,12.8,14.8,11.5,56,1955,2010
"Mean 3pm relative humidity (%) for years 1955 to 2010 ",62,64,62,59,57,57,51,49,51,56,58,59,57,56,1955,2010
"Mean 3pm cloud cover (oktas) for years 1955 to 2010 ",4.6,4.8,4.5,4.2,4.3,4.4,3.8,3.7,3.9,4.4,4.7,4.6,4.3,56,1955,2010
"Mean 3pm wind speed (km/h) for years 1955 to 1991 ",17.9,16.8,15.2,13.8,12.7,13.6,15.3,17.6,18.3,19.1,19.4,19.5,16.6,37,1955,1991
