"Monthly Climate Statistics for 'DARWIN AIRPORT' [014015]"
"Created on [ 13 May 2026 14:04:11 UTC]"

"014015 DARWIN AIRPORT"
"Commenced: 1941"
"Last Record: 2026"
"Latitude:   12.42 Degrees South"
"Longitude:  130.89 Degrees East"
"Elevation:      30 m"
"State: NT"

"Statistic Element","January","February","March","April","May","June","July","August","September","October","November","December","Annual","Number of Years","Start Year","End Year"
"Decile 5 (median) monthly rainfall (mm) for years 1800 to 3000 ",654.0,627.6,500.2,204.4,57.4,3.5,3.3,9.7,46.7,154.8,225.6,439.2, ,86,n/a,n/a
"Highest daily rainfall (mm) for years 1941 to 2026 ",290.4,367.6,240.6,142.7,89.6,46.8,19.2,80.0,70.6,119.4,168.6,277.0,367.6,85,1941,2026
"Date of Highest daily rainfall for years 1941 to 2026 ",03 Jan  1997,16 Feb  2011,16 Mar  1977,04 Apr  1959,18 May  1987,02 Jun  2004,17 Jul  2001,22 Aug  1947,21 Sep  1942,08 Oct  2020,23 Nov  2025,25 Dec  1974,16 Feb  2011,N/A,1941,2026
"Mean number of days of rain for years 1941 to 2026 ",21.4,20.2,19.4,9.4,2.2,0.6,0.4,0.6,2.4,6.9,12.5,16.9,112.9,85,1941,2026
"Mean number of days of rain >= 1 mm for years 1941 to 2026 ",19.0,17.8,16.6,7.3,1.6,0.3,0.2,0.3,1.6,5.1,10.1,14.2,94.1,85,1941,2026
"Mean number of days of rain >= 10 mm for years 1941 to 2026 ",11.2,10.0,8.6,2.8,0.6,0.0,0.0,0.1,0.5,2.0,4.5,6.9,47.2,85,1941,2026
"Mean number of days of rain >= 25 mm for years 1941 to 2026 ",6.0,4.8,3.9,1.2,0.2,0.0,0.0,0.1,0.1,0.9,1.8,3.3,22.3,85,1941,2026
"Mean daily wind run (km) for years 1995 to 2025 ",362,345,291,281,315,323,310,296,303,313,295,316,312,29,1995,2025
"Maximum wind gust speed (km/h) for years 1947 to 2025 ",102,126,117,117,76,93,76,67,71,102,126,217,217,64,1947,2025
"Date of Maximum wind gust speed for years 1947 to 2025 ",05 Jan  2008,27 Feb  2010,03 Mar  1990,13 Apr  1985,10 May  1986,30 Jun  1999,30 Jul  1997,17 Aug  1993,06 Sep  1996,15 Oct  2008,14 Nov  2005,25 Dec  1974,25 Dec  1974,N/A,1947,2025
"Mean daily sunshine (hours) for years 1951 to 2025 ",5.7,5.9,6.8,8.8,9.6,9.9,10.2,10.4,9.9,9.5,8.4,6.9,8.5,70,1951,2025
"Mean daily solar exposure (MJ/(m*m)) for years 1990 to 2026 ",18.9,19.5,21.2,21.9,20.7,19.8,20.6,22.7,23.9,24.4,23.0,20.5,21.4,36,1990,2026
"Mean number of clear days for years 1954 to 2010 ",0.6,0.7,1.9,6.2,12.1,16.3,17.6,19.0,15.1,9.2,3.6,0.9,103.2,56,1954,2010
"Mean number of cloudy days for years 1954 to 2010 ",24.2,21.6,19.6,11.5,6.5,3.8,3.4,2.6,3.4,5.5,11.5,20.4,134.0,56,1954,2010
"Mean daily evaporation (mm) for years 1957 to 2025 ",5.9,5.7,5.7,6.3,6.8,6.7,6.8,7.2,7.6,7.9,7.3,6.5,6.7,55,1957,2025
"Mean 9am temperature (°C) for years 1954 to 2010 ",28.0,27.7,27.6,27.4,25.6,23.3,22.8,24.4,27.0,28.7,29.2,28.8,26.7,56,1954,2010
"Mean 9am wet bulb temperature (°C) for years 1954 to 2010 ",25.5,25.5,25.2,23.9,21.1,18.4,18.0,19.9,22.8,24.4,25.2,25.6,23.0,56,1954,2010
"Mean 9am dew point temperature (°C) for years 1954 to 2010 ",24.3,24.5,24.1,22.1,18.2,14.5,14.0,16.6,20.4,22.2,23.4,24.1,20.7,56,1954,2010
"Mean 9am relative humidity (%) for years 1954 to 2010 ",81,83,82,74,65,60,60,64,68,69,72,76,71,56,1954,2010
"Mean 9am cloud cover (okas) for years 1954 to 2010 ",6.5,6.5,5.7,4.4,3.3,2.7,2.5,2.3,2.9,3.9,5.0,6.0,4.3,56,1954,2010
"Mean 9am wind speed (km/h) for years 1941 to 2010 ",11.4,11.1,9.0,10.5,13.6,14.7,13.0,10.7,9.0,8.8,8.7,9.9,10.9,69,1941,2010
"Mean 3pm temperature (°C) for years 1954 to 2010 ",30.2,30.0,30.5,31.7,31.2,29.9,29.6,30.2,31.2,32.0,31.9,31.2,30.8,56,1954,2010
"Mean 3pm wet bulb temperature (°C) for years 1954 to 2010 ",26.0,25.9,25.6,24.2,22.1,20.2,19.8,20.8,22.9,24.5,25.5,25.9,23.6,56,1954,2010
"Mean 3pm dew point temperature (°C) for years 1954 to 2010 ",24.0,24.2,23.4,20.1,16.4,13.0,12.3,14.0,17.8,20.6,22.4,23.6,19.3,56,1954,2010
"Mean 3pm relative humidity (%) for years 1954 to 2010 ",70,72,67,52,43,38,37,40,47,52,58,65,54,56,1954,2010
"Mean 3pm cloud cover (oktas) for years 1954 to 2010 ",6.5,6.5,6.0,4.8,3.6,2.8,2.4,2.2,2.6,3.3,4.7,5.9,4.3,56,1954,2010
"Mean 3pm wind speed (km/h) for years 1941 to 2010 ",17.8,18.6,16.4,16.5,17.0,16.2,17.1,19.0,20.9,19.9,17.7,17.5,17.9,69,1941,2010
