"Monthly Climate Statistics for 'BRISBANE REGIONAL OFFICE' [040214]"
"Created on [ 13 May 2026 13:42:17 UTC]"

"040214 BRISBANE REGIONAL OFFICE"
"Commenced: 1840"
"Last Record: 1994"
"Latitude:   27.47 Degrees South"
"Longitude:  153.03 Degrees East"
"Elevation:      38 m"
"State: QLD"

"Statistic Element","January","February","March","April","May","June","July","August","September","October","November","December","Annual","Number of Years","Start Year","End Year"
"Decile 5 (median) monthly rainfall (mm) for years 1800 to 3000 ",281.6,358.3,285.2,198.8,158.7,156.1,146.1,97.8,88.6,143.4,200.5,241.1, ,147,n/a,n/a
"Highest daily rainfall (mm) for years 1841 to 1994 ",465.1,269.5,284.0,190.2,149.0,282.4,193.0,124.2,79.5,135.6,169.0,167.6,465.1,132,1841,1994
"Date of Highest daily rainfall for years 1841 to 1994 ",21 Jan  1887,06 Feb  1931,14 Mar  1908,26 Apr  1989,09 May  1980,12 Jun  1967,20 Jul  1965,12 Aug  1887,12 Sep  1965,25 Oct  1949,02 Nov  1981,28 Dec  1871,21 Jan  1887,N/A,1841,1994
"Mean number of days of rain for years 1840 to 1994 ",12.9,13.2,14.3,11.1,9.6,7.9,7.2,6.7,7.3,9.2,9.8,11.4,120.6,138,1840,1994
"Mean number of days of rain >= 1 mm for years 1841 to 1994 ",8.4,8.8,9.4,6.8,5.8,4.5,4.2,4.0,4.4,5.9,6.5,7.7,76.4,132,1841,1994
"Mean number of days of rain >= 10 mm for years 1841 to 1994 ",3.6,3.5,3.2,2.0,1.6,1.3,1.3,1.0,1.1,2.0,2.6,3.3,26.5,132,1841,1994
"Mean number of days of rain >= 25 mm for years 1841 to 1994 ",1.5,1.5,1.3,0.8,0.6,0.6,0.5,0.4,0.3,0.6,0.9,1.2,10.2,132,1841,1994
"Mean daily wind run (km) for years 1951 to 1985 ",283,269,260,234,225,235,231,231,241,251,259,265,249,35,1951,1985
"Maximum wind gust speed (km/h) for years 1951 to 1986 ",145,102,106,104,87,95,111,100,102,93,111,124,145,35,1951,1986
"Date of Maximum wind gust speed for years 1951 to 1986 ",18 Jan  1985,18 Feb  1959,14 Mar  1957,17 Apr  1956,30 May  1969,05 Jun  1963,19 Jul  1965,30 Aug  1963,27 Sep  1955,10 Oct  1974,17 Nov  1962,27 Dec  1972,18 Jan  1985,N/A,1951,1986
"Mean daily sunshine (hours) for years 1951 to 1983 ",7.4,6.6,6.5,7.2,6.9,6.8,7.4,7.9,8.2,8.0,8.4,8.1,7.4,26,1951,1983
"Mean daily solar exposure (MJ/(m*m)) for years 1990 to 2026 ",23.5,21.1,18.6,16.3,13.3,11.9,13.1,16.0,19.4,21.6,23.5,24.1,18.5,36,1990,2026
"Mean number of clear days for years 1951 to 1986 ",4.0,3.5,6.7,8.7,10.7,12.1,15.2,15.4,14.1,9.2,7.4,6.1,113.1,35,1951,1986
"Mean number of cloudy days for years 1951 to 1986 ",14.3,13.4,12.8,8.7,10.0,8.1,7.4,5.9,5.9,9.9,10.7,12.1,119.2,35,1951,1986
"Mean daily evaporation (mm) for years 1951 to 1986 ",5.8,5.2,4.5,3.8,3.0,2.5,2.5,3.3,4.2,4.8,5.6,6.1,4.3,31,1951,1986
"Mean 9am temperature (°C) for years 1951 to 1986 ",25.6,25.3,24.1,21.5,17.7,14.7,13.7,15.4,18.8,21.7,24.1,25.5,20.7,35,1951,1986
