"Monthly Climate Statistics for 'ADELAIDE (WEST TERRACE / NGAYIRDAPIRA)' [023000]"
"Created on [ 13 May 2026 13:30:18 UTC]"

"023000 ADELAIDE (WEST TERRACE / NGAYIRDAPIRA)"
"Commenced: 1839"
"Last Record: 2026"
"Latitude:   34.93 Degrees South"
"Longitude:  138.58 Degrees East"
"Elevation:      29 m"
"State: SA"

"Statistic Element","January","February","March","April","May","June","July","August","September","October","November","December","Annual","Number of Years","Start Year","End Year"
"Decile 5 (median) monthly rainfall (mm) for years 1800 to 3000 ",50.5,61.2,53.0,91.3,116.7,122.2,107.0,94.4,84.8,71.5,61.7,54.5, ,150,n/a,n/a
"Highest daily rainfall (mm) for years 1839 to 2026 ",58.4,141.5,88.9,80.0,69.9,53.6,44.5,56.6,40.4,56.9,75.2,61.5,141.5,149,1839,2026
"Date of Highest daily rainfall for years 1839 to 2026 ",02 Jan  1889,07 Feb  1925,05 Mar  1878,05 Apr  1860,01 May  1853,01 Jun  1920,10 Jul  1865,19 Aug  1851,20 Sep  1923,16 Oct  1908,12 Nov  1960,23 Dec  1913,07 Feb  1925,N/A,1839,2026
"Mean number of days of rain for years 1839 to 2026 ",4.4,3.8,5.4,9.3,13.2,14.7,16.2,15.8,13.2,10.8,7.9,6.1,120.8,149,1839,2026
"Mean number of days of rain >= 1 mm for years 1839 to 2026 ",2.8,2.5,3.5,6.5,10.2,11.1,11.9,11.6,9.3,7.7,5.3,4.0,86.4,149,1839,2026
"Mean number of days of rain >= 10 mm for years 1839 to 2026 ",0.5,0.5,0.6,1.3,2.0,2.0,1.6,1.4,1.2,1.1,0.7,0.7,13.6,149,1839,2026
"Mean number of days of rain >= 25 mm for years 1839 to 2026 ",0.1,0.2,0.1,0.2,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,1.7,149,1839,2026
"Mean daily wind run (km) for years 1955 to 2025 ",299,287,268,269,259,270,283,304,302,319,319,310,291,24,1955,2025
"Maximum wind gust speed (km/h) for years 1955 to 2025 ",100,106,124,104,113,97,148,121,106,121,130,95,148,31,1955,2025
"Date of Maximum wind gust speed for years 1955 to 2025 ",10 Jan  1975,07 Feb  1955,05 Mar  1956,21 Apr  1968,12 May  1960,29 Jun  1977,13 Jul  1964,01 Aug  1962,12 Sep  1972,01 Oct  1955,19 Nov  1962,02 Dec  1973,13 Jul  1964,N/A,1955,2025
"Mean daily sunshine (hours) for years 1955 to 1977 ",10.2,9.6,8.2,6.3,4.9,4.5,4.2,5.3,6.2,7.4,8.6,9.1,7.0,23,1955,1977
"Mean daily solar exposure (MJ/(m*m)) for years 1990 to 2026 ",27.2,24.1,19.0,13.4,9.4,7.6,8.4,11.4,15.5,20.4,24.3,26.7,17.3,36,1990,2026
