city,station_name,station_number,variable,bom_statistic_label,number_of_years,start_year,end_year,source_page,source_csv
Melbourne,MELBOURNE REGIONAL OFFICE,086071,mean_min_temp_c,Mean minimum temperature (°C) for years 1855 to 2014,160,1855,2014,https://www.bom.gov.au/climate/averages/tables/cw_086071_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0035_086071.csv
Melbourne,MELBOURNE REGIONAL OFFICE,086071,days_ge_30,Mean number of days >= 30 °C for years 1855 to 2015,160,1855,2015,https://www.bom.gov.au/climate/averages/tables/cw_086071_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0035_086071.csv
Melbourne,MELBOURNE REGIONAL OFFICE,086071,days_ge_35,Mean number of days >= 35 °C for years 1855 to 2015,160,1855,2015,https://www.bom.gov.au/climate/averages/tables/cw_086071_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0035_086071.csv
Melbourne,MELBOURNE REGIONAL OFFICE,086071,days_ge_40,Mean number of days >= 40 °C for years 1855 to 2015,160,1855,2015,https://www.bom.gov.au/climate/averages/tables/cw_086071_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0035_086071.csv
Melbourne,MELBOURNE REGIONAL OFFICE,086071,mean_rain_mm,Mean rainfall (mm) for years 1855 to 2015,160,1855,2015,https://www.bom.gov.au/climate/averages/tables/cw_086071_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0035_086071.csv
Melbourne,MELBOURNE REGIONAL OFFICE,086071,rain_days,Mean number of days of rain for years 1855 to 2015,160,1855,2015,https://www.bom.gov.au/climate/averages/tables/cw_086071_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0035_086071.csv
Melbourne,MELBOURNE REGIONAL OFFICE,086071,rain_days_ge_1mm,Mean number of days of rain >= 1 mm for years 1855 to 2015,159,1855,2015,https://www.bom.gov.au/climate/averages/tables/cw_086071_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0035_086071.csv
Melbourne,MELBOURNE REGIONAL OFFICE,086071,rain_days_ge_10mm,Mean number of days of rain >= 10 mm for years 1855 to 2015,159,1855,2015,https://www.bom.gov.au/climate/averages/tables/cw_086071_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0035_086071.csv
Melbourne,MELBOURNE REGIONAL OFFICE,086071,rain_days_ge_25mm,Mean number of days of rain >= 25 mm for years 1855 to 2015,159,1855,2015,https://www.bom.gov.au/climate/averages/tables/cw_086071_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0035_086071.csv
Melbourne,MELBOURNE REGIONAL OFFICE,086071,sunshine_hours,Mean daily sunshine (hours) for years 1955 to 1967,13,1955,1967,https://www.bom.gov.au/climate/averages/tables/cw_086071_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0035_086071.csv
Melbourne,MELBOURNE REGIONAL OFFICE,086071,solar_exposure_mj_m2,Mean daily solar exposure (MJ/(m*m)) for years 1990 to 2026,36,1990,2026,https://www.bom.gov.au/climate/averages/tables/cw_086071_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0035_086071.csv
Melbourne,MELBOURNE REGIONAL OFFICE,086071,clear_days,Mean number of clear days for years 1955 to 2010,56,1955,2010,https://www.bom.gov.au/climate/averages/tables/cw_086071_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0035_086071.csv
Melbourne,MELBOURNE REGIONAL OFFICE,086071,cloudy_days,Mean number of cloudy days for years 1955 to 2010,56,1955,2010,https://www.bom.gov.au/climate/averages/tables/cw_086071_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0035_086071.csv
Melbourne,MELBOURNE REGIONAL OFFICE,086071,rh_9am,Mean 9am relative humidity (%) for years 1955 to 2010,56,1955,2010,https://www.bom.gov.au/climate/averages/tables/cw_086071_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0035_086071.csv
Melbourne,MELBOURNE REGIONAL OFFICE,086071,rh_3pm,Mean 3pm relative humidity (%) for years 1955 to 2010,56,1955,2010,https://www.bom.gov.au/climate/averages/tables/cw_086071_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0035_086071.csv
Melbourne,MELBOURNE REGIONAL OFFICE,086071,cloud_9am,Mean 9am cloud cover (okas) for years 1955 to 2010,56,1955,2010,https://www.bom.gov.au/climate/averages/tables/cw_086071_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0035_086071.csv
Melbourne,MELBOURNE REGIONAL OFFICE,086071,cloud_3pm,Mean 3pm cloud cover (oktas) for years 1955 to 2010,56,1955,2010,https://www.bom.gov.au/climate/averages/tables/cw_086071_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0035_086071.csv
Brisbane,BRISBANE REGIONAL OFFICE,040214,mean_max_temp_c,Mean maximum temperature (°C) for years 1887 to 1986,99,1887,1986,https://www.bom.gov.au/climate/averages/tables/cw_040214_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0036_040214.csv
Brisbane,BRISBANE REGIONAL OFFICE,040214,mean_min_temp_c,Mean minimum temperature (°C) for years 1887 to 1986,99,1887,1986,https://www.bom.gov.au/climate/averages/tables/cw_040214_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0036_040214.csv
Brisbane,BRISBANE REGIONAL OFFICE,040214,days_ge_30,Mean number of days >= 30 °C for years 1887 to 1986,99,1887,1986,https://www.bom.gov.au/climate/averages/tables/cw_040214_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0036_040214.csv
Brisbane,BRISBANE REGIONAL OFFICE,040214,days_ge_35,Mean number of days >= 35 °C for years 1887 to 1986,99,1887,1986,https://www.bom.gov.au/climate/averages/tables/cw_040214_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0036_040214.csv
Brisbane,BRISBANE REGIONAL OFFICE,040214,days_ge_40,Mean number of days >= 40 °C for years 1887 to 1986,99,1887,1986,https://www.bom.gov.au/climate/averages/tables/cw_040214_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0036_040214.csv
Brisbane,BRISBANE REGIONAL OFFICE,040214,mean_rain_mm,Mean rainfall (mm) for years 1840 to 1994,145,1840,1994,https://www.bom.gov.au/climate/averages/tables/cw_040214_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0036_040214.csv
Brisbane,BRISBANE REGIONAL OFFICE,040214,rain_days,Mean number of days of rain for years 1840 to 1994,138,1840,1994,https://www.bom.gov.au/climate/averages/tables/cw_040214_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0036_040214.csv
Brisbane,BRISBANE REGIONAL OFFICE,040214,rain_days_ge_1mm,Mean number of days of rain >= 1 mm for years 1841 to 1994,132,1841,1994,https://www.bom.gov.au/climate/averages/tables/cw_040214_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0036_040214.csv
Brisbane,BRISBANE REGIONAL OFFICE,040214,rain_days_ge_10mm,Mean number of days of rain >= 10 mm for years 1841 to 1994,132,1841,1994,https://www.bom.gov.au/climate/averages/tables/cw_040214_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0036_040214.csv
Brisbane,BRISBANE REGIONAL OFFICE,040214,rain_days_ge_25mm,Mean number of days of rain >= 25 mm for years 1841 to 1994,132,1841,1994,https://www.bom.gov.au/climate/averages/tables/cw_040214_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0036_040214.csv
Brisbane,BRISBANE REGIONAL OFFICE,040214,sunshine_hours,Mean daily sunshine (hours) for years 1951 to 1983,26,1951,1983,https://www.bom.gov.au/climate/averages/tables/cw_040214_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0036_040214.csv
Brisbane,BRISBANE REGIONAL OFFICE,040214,solar_exposure_mj_m2,Mean daily solar exposure (MJ/(m*m)) for years 1990 to 2026,36,1990,2026,https://www.bom.gov.au/climate/averages/tables/cw_040214_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0036_040214.csv
Brisbane,BRISBANE REGIONAL OFFICE,040214,clear_days,Mean number of clear days for years 1951 to 1986,35,1951,1986,https://www.bom.gov.au/climate/averages/tables/cw_040214_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0036_040214.csv
Brisbane,BRISBANE REGIONAL OFFICE,040214,cloudy_days,Mean number of cloudy days for years 1951 to 1986,35,1951,1986,https://www.bom.gov.au/climate/averages/tables/cw_040214_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0036_040214.csv
Brisbane,BRISBANE REGIONAL OFFICE,040214,rh_9am,Mean 9am relative humidity (%) for years 1951 to 1986,35,1951,1986,https://www.bom.gov.au/climate/averages/tables/cw_040214_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0036_040214.csv
Brisbane,BRISBANE REGIONAL OFFICE,040214,rh_3pm,Mean 3pm relative humidity (%) for years 1951 to 1986,35,1951,1986,https://www.bom.gov.au/climate/averages/tables/cw_040214_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0036_040214.csv
Brisbane,BRISBANE REGIONAL OFFICE,040214,cloud_9am,Mean 9am cloud cover (okas) for years 1951 to 1986,35,1951,1986,https://www.bom.gov.au/climate/averages/tables/cw_040214_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0036_040214.csv
Brisbane,BRISBANE REGIONAL OFFICE,040214,cloud_3pm,Mean 3pm cloud cover (oktas) for years 1951 to 1986,35,1951,1986,https://www.bom.gov.au/climate/averages/tables/cw_040214_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0036_040214.csv
Perth,PERTH METRO,009225,mean_max_temp_c,Mean maximum temperature (°C) for years 1994 to 2026,32,1994,2026,https://www.bom.gov.au/climate/averages/tables/cw_009225_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0039_009225.csv
Perth,PERTH METRO,009225,mean_min_temp_c,Mean minimum temperature (°C) for years 1994 to 2026,32,1994,2026,https://www.bom.gov.au/climate/averages/tables/cw_009225_All.shtml,http://www.bom.gov.au/clim_data/cdio/tables/text/IDCJCM0039_009225.csv
